url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",4825,3702,6073,5483,4805,3685,5458,6047
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",114,106,191,173,112,104,168,186
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1167,763,930,766,311,221,184,224
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",4392,3846,2653,2483,4392,3846,2483,2653
https://zenodo.org/records/2643411,"""Stephen Royle""",109,105,796,764,109,105,762,794
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",43,41,103,95,43,41,95,103
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",81,80,64,62,81,80,62,64
https://zenodo.org/records/4328911,"""Bankhead, Peter""",175,163,60,58,174,162,58,60
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",33,31,63,60,33,31,60,63
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",96,76,130,125,96,76,125,130
https://zenodo.org/records/10815329,"""Haase, Robert""",344,261,356,336,285,213,292,305
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",161,132,237,228,161,132,228,237
https://zenodo.org/records/10654775,"""Haase, Robert""",219,188,432,397,75,70,242,268
https://zenodo.org/records/10008465,"""Moore, Josh""",104,68,134,129,104,68,129,134
https://zenodo.org/records/10972692,"""Haase, Robert""",216,161,264,237,204,150,216,239
https://zenodo.org/records/10990107,"""Haase, Robert""",180,128,248,231,161,111,191,205
https://zenodo.org/records/10970869,"""Haase, Robert""",118,101,148,141,118,101,141,148
https://zenodo.org/records/11066250,"""Haase, Robert""",119,101,108,98,113,95,82,91
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",223,172,273,247,223,172,247,273
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",149,116,183,171,149,116,171,183
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",642,516,277,221,642,516,221,277
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",116,93,182,166,116,93,166,182
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",177,141,279,255,171,135,250,274
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",142,110,805,736,139,107,707,776
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",7,7,119,97,7,7,96,118
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",215,174,198,187,215,174,187,198
https://zenodo.org/records/10793699,"""Massei, Riccardo""",46,45,141,135,46,45,135,141
https://zenodo.org/records/11265038,"""Pape, Constantin""",118,109,47,41,118,109,41,47
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",51,34,88,82,51,34,82,88
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",52,31,75,63,52,31,63,75
https://zenodo.org/records/10816895,"""Haase, Robert""",89,74,102,96,89,74,96,102
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",292,264,529,507,289,261,505,527
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",62,50,118,114,62,50,114,118
https://zenodo.org/records/11396199,"""Voigt, Pia""",69,63,120,117,69,63,117,120
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",255,230,466,421,134,123,176,184
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",353,318,524,494,176,157,201,212
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",285,250,375,346,117,105,135,147
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",1783,1487,2137,1815,1732,1452,1673,1966
https://zenodo.org/records/12623730,"""Haase, Robert""",1708,1543,1278,1218,873,753,315,338
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",1914,1646,1856,1715,1914,1646,1715,1856
https://zenodo.org/records/12744715,"""Seibold, Heidi""",1456,1197,3964,3668,1456,1197,3668,3964
https://zenodo.org/record/7018929,"""Kunis, Susanne""",49,35,135,128,49,35,126,133
https://zenodo.org/records/8329306,"""Kunis, Susanne""",83,68,96,91,80,65,88,93
https://zenodo.org/records/10008464,"""Moore, Josh""",104,68,134,129,104,68,129,134
https://zenodo.org/records/10609770,"""Abdrabbou, Mohamed M. and Babaki, Mehrnaz and Boissonnet, Tom and Bortolomeazzi, Michele and Dahms, Eik and Fuchs, Vanessa A. F. and Hoevels, Moritz and Kandpal, Niraj and Möhl, Christoph and Moore, Joshua A. and Schauss, Astrid and Schrader, Andrea and Stöter, Torsten and Thönnißen, Julia and Valencia-S., Monica and Weil, H. Lukas and Wendt, Jens and Zentis, Peter""",5,5,154,135,3,3,107,113
https://zenodo.org/records/11235512,"""Moore, Josh and Kunis, Susanne""",50,38,103,96,50,38,96,103
https://zenodo.org/records/8329305,"""Kunis, Susanne""",83,68,96,91,80,65,88,93
https://zenodo.org/records/7928332,"""Moore, Joshua Allenm and Kunis, Susanne""",111,63,85,77,109,62,76,84
https://zenodo.org/records/8414318,"""Massei, Riccardo""",39,31,58,52,31,25,45,49
https://zenodo.org/records/10730423,"""Fuchs, Vanessa Aphaia Fiona and Wendt, Jens and Müller, Maximilian and Ahmadi, Mohsen and Massei, Riccardo and Wetzker, Cornelia""",87,64,123,109,87,64,109,123
https://zenodo.org/records/10939519,"""Schmidt, Christian""",46,38,44,40,46,38,40,44
https://zenodo.org/records/11031746,"""Fortmann-Grote, Carsten""",81,58,101,97,81,58,97,101
https://zenodo.org/records/13168693,"""Moore, Joshua and Kunis, Susanne and Grüning, Björn and Blank-Burian, Markus and Mallm, Jan-Philipp and Stöter, Torsten and Zuschratter, Werner and Figge, Marc Thilo and Kreshuk, Anna and Tischer, Christian and Haase, Robert and Zobel, Thomas and Bauer, Pavol and Svensson, Carl-Magnus and Gerst, Ruman and Hanne, Janina and Schmidt, Christian and Becker, Markus M. and Bocklitz, Thomas and Bumberger, Jan and Chalopin, Claire and Chen, Jianxu and Czodrowski, Paul and Dickscheid, Timo and Fortmann-Grote, Carsten and Huisken, Jan and Lohmann, Jan and Schauss, Astrid and Baumann, Martin and Beretta, Carlo and Burel, Jean-Marie and Heuveline, Vincent and Kuner, Rohini and Kuner, Thomas and Landwehr, Matthias and Leibfried, Andrea and Nitschke, Roland and Mittal, Deepti and von Suchodoletz, Dirk and Valencia-Schneider, Monica and Zentis, Peter and Brilhaus, Dominik and Hartley, Matthew and Hülsmann, Bastian and Dunker, Susanne and Keppler, Antje and Mathur, Aastha and Meesters, Christian and Möbius, Wiebke and Nahnsen, Sven and Pfander, Claudia and Rehwald, Stephanie and Serrano-Solano, Beatriz and Vilardell Scholten, Laura and Vogl, Raimund and Becks, Lutz and Ferrando-May, Elisa and Weidtkamp-Peters, Stefanie""",534,399,1032,952,534,399,952,1032
https://zenodo.org/records/11318151,"""Moore, Josh""",21,16,51,48,21,16,48,51
https://zenodo.org/records/11521029,"""Geiger, Jonathan and Steiner, Petra and Desouki, Abdelmoneim Amer and Lange, Frank""",827,643,1043,959,827,643,959,1043
https://zenodo.org/records/13379394,"""Haase, Robert""",471,360,389,361,444,337,327,353
https://zenodo.org/records/13371196,"""Haase, Robert""",517,371,384,325,319,228,181,211
https://zenodo.org/records/13506641,"""Haase, Robert""",219,187,236,224,147,126,124,128
https://zenodo.org/records/11109616,"""Fuchs, Vanessa Aphaia Fiona and Schmidt, Christian and Boissonnet, Tom""",378,334,201,186,378,334,186,201
https://zenodo.org/records/13908480,"""Massei, Riccardo""",20,19,53,46,20,19,46,53
https://zenodo.org/records/13908108,"""Haase, Robert""",365,274,314,273,290,217,214,250
https://zenodo.org/records/13928832,"""Haase, Robert""",98,70,158,134,98,70,134,158
https://zenodo.org/records/13331351,"""Fazeli, Elnaz and Robert, Haase and Michael, Doube and Kota, Miura and David, Legland""",400,326,475,437,400,326,437,475
https://zenodo.org/records/14001044,"""Haase, Robert""",140,95,124,106,140,95,106,124
