url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",4852,3721,6103,5512,4832,3704,5487,6077
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",114,106,192,174,112,104,169,187
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1176,771,934,770,311,221,184,224
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",4532,3977,2711,2540,4532,3977,2540,2711
https://zenodo.org/records/2643411,"""Stephen Royle""",109,105,798,766,109,105,764,796
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",43,41,103,95,43,41,95,103
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",81,80,64,62,81,80,62,64
https://zenodo.org/records/4328911,"""Bankhead, Peter""",175,163,60,58,174,162,58,60
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",33,31,63,60,33,31,60,63
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",97,77,131,126,97,77,126,131
https://zenodo.org/records/10815329,"""Haase, Robert""",350,265,361,341,291,217,296,309
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",161,132,237,228,161,132,228,237
https://zenodo.org/records/10654775,"""Haase, Robert""",221,190,434,399,75,70,242,268
https://zenodo.org/records/10008465,"""Moore, Josh""",104,68,134,129,104,68,129,134
https://zenodo.org/records/10972692,"""Haase, Robert""",216,161,265,238,204,150,217,240
https://zenodo.org/records/10990107,"""Haase, Robert""",191,134,256,238,172,117,197,212
https://zenodo.org/records/10970869,"""Haase, Robert""",125,105,151,144,125,105,144,151
https://zenodo.org/records/11066250,"""Haase, Robert""",126,105,110,100,120,99,84,93
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",233,181,289,263,233,181,263,289
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",154,120,187,175,154,120,175,187
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",654,526,282,226,654,526,226,282
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",121,97,187,170,121,97,170,187
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",180,144,282,258,174,138,253,277
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",144,112,808,739,141,109,710,779
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",7,7,121,99,7,7,98,120
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",218,177,204,193,218,177,193,204
https://zenodo.org/records/10793699,"""Massei, Riccardo""",46,45,144,138,46,45,138,144
https://zenodo.org/records/11265038,"""Pape, Constantin""",118,109,47,41,118,109,41,47
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",51,34,90,84,51,34,84,90
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",53,32,76,64,53,32,64,76
https://zenodo.org/records/10816895,"""Haase, Robert""",90,75,104,98,90,75,98,104
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",292,264,529,507,289,261,505,527
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",62,50,118,114,62,50,114,118
https://zenodo.org/records/11396199,"""Voigt, Pia""",70,64,122,119,70,64,119,122
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",255,230,466,421,134,123,176,184
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",354,319,525,495,177,158,202,213
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",285,250,377,348,117,105,137,149
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",1788,1490,2142,1819,1737,1455,1676,1970
https://zenodo.org/records/12623730,"""Haase, Robert""",1943,1751,1298,1236,1107,960,333,358
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",2088,1760,1924,1778,2088,1760,1778,1924
https://zenodo.org/records/12744715,"""Seibold, Heidi""",1477,1213,3992,3693,1477,1213,3693,3992
