url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",6592,4702,7561,6869,5485,4139,6161,6816
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",144,136,257,227,142,134,222,252
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1683,1188,1170,970,417,318,245,297
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",8273,7501,4008,3769,8273,7501,3769,4008
https://zenodo.org/records/2643411,"""Stephen Royle""",125,121,930,883,125,121,881,928
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",65,63,167,146,65,63,146,167
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",114,111,126,113,114,111,113,126
https://zenodo.org/records/4328911,"""Bankhead, Peter""",205,191,108,95,204,190,95,108
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",66,62,119,103,66,62,103,119
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",210,183,220,203,210,183,203,220
https://zenodo.org/records/10815329,"""Haase, Robert""",638,541,507,471,554,468,415,444
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",192,160,323,304,192,160,304,323
https://zenodo.org/records/10654775,"""Haase, Robert""",401,360,589,544,87,82,299,335
https://zenodo.org/records/10008465,"""Moore, Josh""",318,254,334,295,171,122,196,223
https://zenodo.org/records/10972692,"""Haase, Robert""",392,327,392,354,358,294,321,355
https://zenodo.org/records/10990107,"""Haase, Robert""",394,308,439,400,357,273,340,376
https://zenodo.org/records/10970869,"""Haase, Robert""",348,311,294,273,348,311,273,294
https://zenodo.org/records/11066250,"""Haase, Robert""",299,261,214,189,292,254,166,190
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",651,518,812,753,651,518,753,812
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",280,223,337,305,280,223,305,337
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",1477,1311,389,321,1477,1311,321,389
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",274,226,360,328,274,226,328,360
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",308,251,474,424,302,245,419,469
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",211,167,916,832,208,164,803,887
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",19,19,203,166,19,19,165,202
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",481,424,331,296,481,424,296,331
https://zenodo.org/records/10793699,"""Massei, Riccardo""",76,75,250,219,76,75,219,250
https://zenodo.org/records/11265038,"""Pape, Constantin""",262,243,114,97,262,243,97,114
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",92,67,147,129,92,67,129,147
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",95,71,148,125,95,71,125,148
https://zenodo.org/records/10816895,"""Haase, Robert""",300,273,207,187,300,273,187,207
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",347,314,589,558,344,311,556,587
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",249,208,274,255,120,97,181,195
https://zenodo.org/records/11396199,"""Voigt, Pia""",210,199,198,187,210,199,187,198
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",295,266,561,509,174,159,246,261
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",414,376,600,563,225,203,254,272
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",358,320,478,439,159,144,208,230
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",1986,1638,2327,1976,1935,1603,1816,2138
https://zenodo.org/records/12623730,"""Haase, Robert""",5668,5237,1747,1659,3094,2722,592,639
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",4370,3651,3889,3574,4370,3651,3574,3889
https://zenodo.org/records/12744715,"""Seibold, Heidi""",1735,1452,4252,3932,1735,1452,3932,4252
https://zenodo.org/record/7018929,"""Kunis, Susanne""",97,66,231,211,97,66,209,229
https://zenodo.org/records/8329306,"""Kunis, Susanne""",195,162,195,169,192,159,166,192
https://zenodo.org/records/10008464,"""Moore, Josh""",318,254,334,295,147,132,99,111
https://zenodo.org/records/8070038,"""Stefanie Weidtkamp-Peters""",190,164,179,164,188,162,162,177
