url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",9967,7392,10610,9727,6479,5059,6842,7515
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",198,187,384,350,196,185,345,379
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",2382,1834,1448,1238,685,557,357,412
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",13275,12329,5034,4757,13275,12329,4757,5034
https://zenodo.org/records/2643411,"""Stephen Royle""",136,132,1068,1019,136,132,1017,1066
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",129,123,251,230,129,123,230,251
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",184,181,224,211,184,181,211,224
https://zenodo.org/records/4328911,"""Bankhead, Peter""",277,259,193,180,276,258,180,193
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",125,113,203,187,125,113,187,203
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",339,311,368,351,339,311,351,368
https://zenodo.org/records/10815329,"""Haase, Robert""",1036,920,735,698,898,796,615,645
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",259,220,449,430,259,220,430,449
https://zenodo.org/records/10654775,"""Haase, Robert""",683,632,797,750,105,100,372,408
https://zenodo.org/records/10008465,"""Moore, Josh""",560,461,662,613,245,182,290,320
https://zenodo.org/records/10972692,"""Haase, Robert""",831,758,627,588,750,678,517,552
https://zenodo.org/records/10990107,"""Haase, Robert""",733,640,698,658,592,502,531,568
https://zenodo.org/records/10970869,"""Haase, Robert""",634,590,527,504,634,590,504,527
https://zenodo.org/records/11066250,"""Haase, Robert""",584,540,389,361,568,524,321,348
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",990,807,1291,1218,990,807,1218,1291
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",418,353,514,477,418,353,477,514
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",2409,2197,561,492,2409,2197,492,561
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",474,411,558,523,474,411,523,558
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",468,391,775,720,462,385,715,770
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",310,262,1055,971,307,259,942,1026
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",52,52,295,257,52,52,256,294
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",945,839,495,459,945,839,459,495
https://zenodo.org/records/10793699,"""Massei, Riccardo""",149,146,466,430,149,146,430,466
https://zenodo.org/records/11265038,"""Pape, Constantin""",552,517,213,196,552,517,196,213
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",136,111,281,263,136,111,263,281
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",158,133,248,225,158,133,225,248
https://zenodo.org/records/10816895,"""Haase, Robert""",571,538,326,306,571,538,306,326
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",412,367,724,692,409,364,690,722
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",381,326,588,566,163,140,369,383
https://zenodo.org/records/11396199,"""Voigt, Pia""",354,340,286,275,354,340,275,286
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",349,317,840,787,228,210,404,420
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",536,485,828,789,282,251,342,361
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",2210,1831,2657,2299,2159,1796,2119,2448
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",6320,5540,4976,4630,6320,5540,4630,4976
https://zenodo.org/records/12744715,"""Seibold, Heidi""",2007,1718,4441,4117,2007,1718,4117,4441
https://zenodo.org/record/7018929,"""Kunis, Susanne""",159,110,339,314,159,110,312,337
https://zenodo.org/records/8329306,"""Kunis, Susanne""",356,317,385,355,353,314,352,382
https://zenodo.org/records/10008464,"""Moore, Josh""",560,461,662,613,315,279,323,342
https://zenodo.org/records/8070038,"""Stefanie Weidtkamp-Peters""",351,322,272,257,349,320,255,270
https://zenodo.org/records/10609770,"""Abdrabbou, Mohamed M. and Babaki, Mehrnaz and Boissonnet, Tom and Bortolomeazzi, Michele and Dahms, Eik and Fuchs, Vanessa A. F. and Hoevels, Moritz and Kandpal, Niraj and Möhl, Christoph and Moore, Joshua A. and Schauss, Astrid and Schrader, Andrea and Stöter, Torsten and Thönnißen, Julia and Valencia-S., Monica and Weil, H. Lukas and Wendt, Jens and Zentis, Peter""",94,94,662,627,77,77,564,586
https://zenodo.org/records/11235512,"""Moore, Josh and Kunis, Susanne""",250,214,415,387,250,214,387,415
https://zenodo.org/records/8329305,"""Kunis, Susanne""",356,317,385,355,353,314,352,382
https://zenodo.org/records/7928332,"""Moore, Joshua Allenm and Kunis, Susanne""",331,257,316,299,329,256,298,315
https://zenodo.org/records/8414318,"""Massei, Riccardo""",202,190,255,243,194,184,236,246
https://zenodo.org/records/10730423,"""Fuchs, Vanessa Aphaia Fiona and Wendt, Jens and Müller, Maximilian and Ahmadi, Mohsen and Massei, Riccardo and Wetzker, Cornelia""",193,167,347,314,193,167,314,347
https://zenodo.org/records/10939519,"""Schmidt, Christian""",176,164,242,219,176,164,219,242
https://zenodo.org/records/11031746,"""Fortmann-Grote, Carsten""",217,171,369,343,217,171,343,369
https://zenodo.org/records/13168693,"""Moore, Joshua and Kunis, Susanne and Grüning, Björn and Blank-Burian, Markus and Mallm, Jan-Philipp and Stöter, Torsten and Zuschratter, Werner and Figge, Marc Thilo and Kreshuk, Anna and Tischer, Christian and Haase, Robert and Zobel, Thomas and Bauer, Pavol and Svensson, Carl-Magnus and Gerst, Ruman and Hanne, Janina and Schmidt, Christian and Becker, Markus M. and Bocklitz, Thomas and Bumberger, Jan and Chalopin, Claire and Chen, Jianxu and Czodrowski, Paul and Dickscheid, Timo and Fortmann-Grote, Carsten and Huisken, Jan and Lohmann, Jan and Schauss, Astrid and Baumann, Martin and Beretta, Carlo and Burel, Jean-Marie and Heuveline, Vincent and Kuner, Rohini and Kuner, Thomas and Landwehr, Matthias and Leibfried, Andrea and Nitschke, Roland and Mittal, Deepti and von Suchodoletz, Dirk and Valencia-Schneider, Monica and Zentis, Peter and Brilhaus, Dominik and Hartley, Matthew and Hülsmann, Bastian and Dunker, Susanne and Keppler, Antje and Mathur, Aastha and Meesters, Christian and Möbius, Wiebke and Nahnsen, Sven and Pfander, Claudia and Rehwald, Stephanie and Serrano-Solano, Beatriz and Vilardell Scholten, Laura and Vogl, Raimund and Becks, Lutz and Ferrando-May, Elisa and Weidtkamp-Peters, Stefanie""",1426,1124,2093,1972,1426,1124,1972,2093
https://zenodo.org/records/11318151,"""Moore, Josh""",101,87,194,179,101,87,179,194
https://zenodo.org/records/11521029,"""Geiger, Jonathan and Steiner, Petra and Desouki, Abdelmoneim Amer and Lange, Frank""",3114,2556,3125,2834,2704,2204,2491,2738
https://zenodo.org/records/13379394,"""Haase, Robert""",1373,1174,1231,1173,1046,873,914,965
https://zenodo.org/records/13371196,"""Haase, Robert""",1521,1322,1174,1099,1087,961,781,827
https://zenodo.org/records/13506641,"""Haase, Robert""",660,608,782,746,300,273,264,276
https://zenodo.org/records/11109616,"""Fuchs, Vanessa Aphaia Fiona and Schmidt, Christian and Boissonnet, Tom""",2467,2294,668,623,2467,2294,623,668
https://zenodo.org/records/13908480,"""Massei, Riccardo""",155,149,325,292,155,149,292,325
https://zenodo.org/records/13908108,"""Haase, Robert""",1162,986,1346,1285,945,798,1094,1150
https://zenodo.org/records/13928832,"""Haase, Robert""",696,607,1043,957,318,264,456,507
https://zenodo.org/records/13331351,"""Fazeli, Elnaz and Robert, Haase and Michael, Doube and Kota, Miura and David, Legland""",634,544,1021,970,634,544,970,1021
https://zenodo.org/records/14001044,"""Haase, Robert""",1015,851,617,561,1015,851,561,617
https://zenodo.org/records/14001388,"""Moore, Josh""",118,97,211,198,118,97,198,211
https://zenodo.org/records/13831274,"""Moore, Josh""",192,163,336,320,154,129,272,286
https://zenodo.org/records/13991322,"""Moore, Josh""",476,445,320,306,320,300,217,230
https://zenodo.org/records/14014252,"""Zobel, Thomas and Wendt, Jens""",141,125,215,198,141,125,198,215
https://zenodo.org/records/14032908,"""Steuerungsgremium Allianz-Schwerpunkt and Alexander von Humboldt Foundation and Deutsche Forschungsgemeinschaft and Fraunhofer Society and German Rectors' Conference and Leibniz Association and German National Academy of Sciences Leopoldina and German Academic Exchange Service and Helmholtz Association of German Research Centres and Max Planck Society""",1813,1469,2663,2477,1813,1469,2477,2663
https://zenodo.org/records/14030307,"""Haase, Robert""",41,37,152,137,41,37,137,152
https://zenodo.org/records/14044640,"""Massei, Riccardo and Berndt, Matthias and Serrano-Solano, Beatriz and Busch, Wibke and Scholz, Stefan and Bohring, Hannes and Nyffeler, Jo and Reger, Luise and Bumberger, Jan and Lopez-Delisle, Lucille""",712,672,1000,845,140,139,479,497
https://zenodo.org/records/14013026,"""Boissonnet, Tom and Hagen, Bettina and Kunis, Susanne and Schmidt, Christian and Weidtkamp-Peters, Stefanie""",1662,1496,725,680,535,485,331,348
https://zenodo.org/records/13680725,"""Nicolas Chiaruttini""",2762,2721,304,278,2762,2721,278,304
https://zenodo.org/records/5675686,"""Romain Guiet and Nicolas Chiaruttini""",1784,1340,2781,2618,295,276,600,634
