url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",7187,4964,7896,7178,5574,4204,6283,6942
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",145,137,262,232,143,135,227,257
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1701,1201,1179,979,429,326,251,303
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",9090,8278,4162,3916,9090,8278,3916,4162
https://zenodo.org/records/2643411,"""Stephen Royle""",125,121,943,896,125,121,894,941
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",78,76,175,154,78,76,154,175
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",116,113,130,117,116,113,117,130
https://zenodo.org/records/4328911,"""Bankhead, Peter""",206,192,110,97,205,191,97,110
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",71,67,120,104,71,67,104,120
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",220,193,228,211,220,193,211,228
https://zenodo.org/records/10815329,"""Haase, Robert""",648,550,515,479,563,476,423,452
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",195,163,332,313,195,163,313,332
https://zenodo.org/records/10654775,"""Haase, Robert""",430,387,605,560,89,84,306,342
https://zenodo.org/records/10008465,"""Moore, Josh""",358,274,360,314,188,130,202,232
https://zenodo.org/records/10972692,"""Haase, Robert""",525,457,422,384,486,419,350,384
https://zenodo.org/records/10990107,"""Haase, Robert""",473,386,478,439,384,299,351,387
https://zenodo.org/records/10970869,"""Haase, Robert""",389,352,305,284,389,352,284,305
https://zenodo.org/records/11066250,"""Haase, Robert""",323,285,228,203,314,276,180,204
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",687,548,840,781,687,548,781,840
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",297,237,348,316,297,237,316,348
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",1563,1395,404,336,1563,1395,336,404
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",303,248,384,352,303,248,352,384
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",337,269,522,471,331,263,466,517
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",225,180,923,839,222,177,810,894
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",29,29,213,175,29,29,174,212
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",496,438,344,309,496,438,309,344
https://zenodo.org/records/10793699,"""Massei, Riccardo""",87,86,270,236,87,86,236,270
https://zenodo.org/records/11265038,"""Pape, Constantin""",282,260,117,100,282,260,100,117
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",92,67,152,134,92,67,134,152
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",98,73,152,129,98,73,129,152
https://zenodo.org/records/10816895,"""Haase, Robert""",322,295,214,194,322,295,194,214
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",356,320,600,569,353,317,567,598
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",251,209,282,263,120,97,184,198
https://zenodo.org/records/11396199,"""Voigt, Pia""",249,237,204,193,249,237,193,204
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",295,266,571,519,174,159,254,269
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",420,381,614,577,229,206,262,280
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",366,328,481,442,160,145,209,231
