url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",6808,4784,7681,6976,5512,4156,6192,6850
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",144,136,260,230,142,134,225,255
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1688,1192,1174,974,418,319,247,299
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",8566,7784,4061,3821,8566,7784,3821,4061
https://zenodo.org/records/2643411,"""Stephen Royle""",125,121,935,888,125,121,886,933
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",74,72,171,150,74,72,150,171
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",115,112,127,114,115,112,114,127
https://zenodo.org/records/4328911,"""Bankhead, Peter""",206,192,108,95,205,191,95,108
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",70,66,119,103,70,66,103,119
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",218,191,223,206,218,191,206,223
https://zenodo.org/records/10815329,"""Haase, Robert""",643,546,509,473,559,473,417,446
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",192,160,326,307,192,160,307,326
https://zenodo.org/records/10654775,"""Haase, Robert""",410,369,597,552,87,82,304,340
https://zenodo.org/records/10008465,"""Moore, Josh""",335,259,346,302,178,124,198,227
https://zenodo.org/records/10972692,"""Haase, Robert""",396,331,397,359,362,298,325,359
https://zenodo.org/records/10990107,"""Haase, Robert""",403,317,450,411,364,280,346,382
https://zenodo.org/records/10970869,"""Haase, Robert""",360,323,298,277,360,323,277,298
https://zenodo.org/records/11066250,"""Haase, Robert""",307,269,218,193,300,262,170,194
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",659,526,822,763,659,526,763,822
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",286,228,341,309,286,228,309,341
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",1513,1346,396,328,1513,1346,328,396
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",285,233,367,335,285,233,335,367
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",314,256,491,441,308,250,436,486
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",217,173,916,832,214,170,803,887
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",20,20,205,168,20,20,167,204
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",486,429,337,302,486,429,302,337
https://zenodo.org/records/10793699,"""Massei, Riccardo""",80,79,259,228,80,79,228,259
https://zenodo.org/records/11265038,"""Pape, Constantin""",266,247,114,97,266,247,97,114
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",92,67,148,130,92,67,130,148
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",98,73,150,127,98,73,127,150
https://zenodo.org/records/10816895,"""Haase, Robert""",319,292,212,192,319,292,192,212
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",349,315,590,559,346,312,557,588
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",249,208,275,256,120,97,181,195
https://zenodo.org/records/11396199,"""Voigt, Pia""",238,227,201,190,238,227,190,201
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",295,266,562,510,174,159,247,262
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",414,376,604,567,225,203,256,274
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",358,320,480,441,159,144,208,230
