url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",10301,7707,11305,10078,6632,5207,6918,7591
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",215,202,416,371,213,200,366,411
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",2552,1998,1496,1285,731,602,369,424
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",14057,13092,5115,4833,14057,13092,4833,5115
https://zenodo.org/records/2643411,"""Stephen Royle""",139,135,1084,1035,139,135,1033,1082
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",148,142,259,238,148,142,238,259
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",203,200,238,225,203,200,225,238
https://zenodo.org/records/4328911,"""Bankhead, Peter""",311,292,205,192,310,291,192,205
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",138,126,219,203,138,126,203,219
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",364,334,392,375,364,334,375,392
https://zenodo.org/records/10815329,"""Haase, Robert""",1152,1027,794,756,979,868,660,691
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",269,230,459,440,269,230,440,459
https://zenodo.org/records/10654775,"""Haase, Robert""",749,689,822,775,110,105,380,416
https://zenodo.org/records/10008465,"""Moore, Josh""",606,507,682,633,261,198,295,325
https://zenodo.org/records/10972692,"""Haase, Robert""",887,814,706,667,789,717,571,606
https://zenodo.org/records/10990107,"""Haase, Robert""",799,704,750,710,638,547,569,606
https://zenodo.org/records/10970869,"""Haase, Robert""",722,674,562,539,722,674,539,562
https://zenodo.org/records/11066250,"""Haase, Robert""",629,585,433,405,611,567,356,383
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",1011,825,1410,1336,1011,825,1336,1410
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",429,364,539,502,429,364,502,539
