url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",4945,3769,6216,5615,4925,3752,5590,6190
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",116,108,195,177,114,106,172,190
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1210,796,964,797,320,229,191,231
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",4853,4276,2906,2724,4853,4276,2724,2906
https://zenodo.org/records/2643411,"""Stephen Royle""",109,105,806,774,109,105,772,804
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",44,42,107,99,44,42,99,107
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",84,83,70,68,84,83,68,70
https://zenodo.org/records/4328911,"""Bankhead, Peter""",176,164,64,62,175,163,62,64
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",34,32,66,63,34,32,63,66
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",106,86,137,132,106,86,132,137
https://zenodo.org/records/10815329,"""Haase, Robert""",395,310,378,358,330,256,311,324
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",163,133,239,230,163,133,230,239
https://zenodo.org/records/10654775,"""Haase, Robert""",225,193,438,403,75,70,243,269
https://zenodo.org/records/10008465,"""Moore, Josh""",106,70,138,133,106,70,133,138
https://zenodo.org/records/10972692,"""Haase, Robert""",231,176,278,251,219,165,228,251
https://zenodo.org/records/10990107,"""Haase, Robert""",221,160,276,258,202,143,216,231
https://zenodo.org/records/10970869,"""Haase, Robert""",148,127,164,157,148,127,157,164
https://zenodo.org/records/11066250,"""Haase, Robert""",128,107,120,110,122,101,92,101
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",279,221,357,329,279,221,329,357
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",164,129,209,195,164,129,195,209
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",702,570,298,240,702,570,240,298
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",134,108,208,190,134,108,190,208
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",200,159,307,278,194,153,273,302
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",152,117,819,750,149,114,721,790
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",7,7,142,117,7,7,116,141
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",229,187,214,203,229,187,203,214
https://zenodo.org/records/10793699,"""Massei, Riccardo""",46,45,154,148,46,45,148,154
https://zenodo.org/records/11265038,"""Pape, Constantin""",123,114,54,48,123,114,48,54
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",55,37,97,90,55,37,90,97
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",54,33,83,71,54,33,71,83
https://zenodo.org/records/10816895,"""Haase, Robert""",104,85,118,109,104,85,109,118
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",293,265,532,510,290,262,508,530
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",141,122,167,161,87,68,139,144
https://zenodo.org/records/11396199,"""Voigt, Pia""",74,68,129,126,74,68,126,129
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",258,233,474,429,137,126,183,191
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",355,320,530,500,178,159,205,216
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",291,256,378,349,120,108,138,150
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",1795,1496,2152,1829,1744,1461,1684,1978
https://zenodo.org/records/12623730,"""Haase, Robert""",2388,2147,1412,1342,1390,1194,396,428
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",2569,2165,2706,2494,2569,2165,2494,2706
https://zenodo.org/records/12744715,"""Seibold, Heidi""",1523,1259,4050,3751,1523,1259,3751,4050
https://zenodo.org/record/7018929,"""Kunis, Susanne""",66,44,158,148,66,44,146,156
https://zenodo.org/records/8329306,"""Kunis, Susanne""",92,75,107,102,89,72,99,104
https://zenodo.org/records/10008464,"""Moore, Josh""",106,70,138,133,106,70,133,138
https://zenodo.org/records/10609770,"""Abdrabbou, Mohamed M. and Babaki, Mehrnaz and Boissonnet, Tom and Bortolomeazzi, Michele and Dahms, Eik and Fuchs, Vanessa A. F. and Hoevels, Moritz and Kandpal, Niraj and Möhl, Christoph and Moore, Joshua A. and Schauss, Astrid and Schrader, Andrea and Stöter, Torsten and Thönnißen, Julia and Valencia-S., Monica and Weil, H. Lukas and Wendt, Jens and Zentis, Peter""",7,7,173,153,5,5,124,131
https://zenodo.org/records/11235512,"""Moore, Josh and Kunis, Susanne""",57,44,123,116,57,44,116,123
https://zenodo.org/records/8329305,"""Kunis, Susanne""",92,75,107,102,89,72,99,104
https://zenodo.org/records/7928332,"""Moore, Joshua Allenm and Kunis, Susanne""",126,71,95,87,124,70,86,94
https://zenodo.org/records/8414318,"""Massei, Riccardo""",44,36,67,61,36,30,54,58
