url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",8398,5943,9479,8639,5878,4475,6610,7278
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",168,158,346,314,166,156,309,341
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",2036,1518,1301,1097,545,432,320,374
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",11354,10469,4666,4406,11354,10469,4406,4666
https://zenodo.org/records/2643411,"""Stephen Royle""",131,127,1016,967,131,127,965,1014
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",96,92,216,195,96,92,195,216
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",142,139,180,167,142,139,167,180
https://zenodo.org/records/4328911,"""Bankhead, Peter""",230,216,153,140,229,215,140,153
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",88,84,163,147,88,84,147,163
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",277,250,298,281,277,250,281,298
https://zenodo.org/records/10815329,"""Haase, Robert""",789,684,597,560,685,591,497,527
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",221,189,397,378,221,189,378,397
https://zenodo.org/records/10654775,"""Haase, Robert""",520,473,717,671,91,86,355,391
https://zenodo.org/records/10008465,"""Moore, Josh""",438,346,534,485,213,154,246,276
https://zenodo.org/records/10972692,"""Haase, Robert""",704,635,474,436,656,588,398,432
https://zenodo.org/records/10990107,"""Haase, Robert""",590,501,547,507,478,391,411,448
https://zenodo.org/records/10970869,"""Haase, Robert""",494,454,414,391,494,454,391,414
https://zenodo.org/records/11066250,"""Haase, Robert""",464,423,276,249,454,413,224,250
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",860,691,1046,981,860,691,981,1046
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",338,276,409,374,338,276,374,409
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",1926,1757,475,407,1926,1757,407,475
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",380,323,467,434,380,323,434,467
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",390,319,636,584,384,313,579,631
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",258,212,979,895,255,209,866,950
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",39,39,256,218,39,39,217,255
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",612,550,422,387,612,550,387,422
https://zenodo.org/records/10793699,"""Massei, Riccardo""",112,111,372,336,112,111,336,372
https://zenodo.org/records/11265038,"""Pape, Constantin""",372,346,166,149,372,346,149,166
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",105,80,230,212,105,80,212,230
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",124,99,207,184,124,99,184,207
https://zenodo.org/records/10816895,"""Haase, Robert""",449,417,266,246,449,417,246,266
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",376,340,670,638,373,337,636,668
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",296,252,400,381,136,113,253,267
https://zenodo.org/records/11396199,"""Voigt, Pia""",288,276,237,226,288,276,226,237
https://zenodo.org/records/4748510,"""Wünsche, Stephan and Voigt, Pia""",307,278,746,694,186,171,347,362
https://zenodo.org/records/4630788,"""Voigt, Pia and Weiner, Barbara""",440,398,697,659,243,217,308,327
https://zenodo.org/records/4748534,"""Voigt, Pia and Weiner, Barbara""",402,364,698,659,176,161,294,316
https://zenodo.org/records/3778431,"""Weiner, Barbara and Wünsche, Stephan and Kühne, Stefan and Voigt, Pia and Frericks, Sebastian and Hoffmann, Clemens and Elze, Romy and Gey, Ronny""",2105,1742,2538,2183,2054,1707,2012,2338
https://zenodo.org/records/12623730,"""Haase, Robert""",10178,9716,2545,2454,5899,5499,1013,1061
https://zenodo.org/records/11201216,"""Hertweck, Kate and Strasser, Carly and Taraborelli, Dario""",5132,4372,4390,4062,5132,4372,4062,4390
https://zenodo.org/records/12744715,"""Seibold, Heidi""",1861,1573,4356,4035,1861,1573,4035,4356
https://zenodo.org/record/7018929,"""Kunis, Susanne""",142,94,304,280,142,94,278,302
https://zenodo.org/records/8329306,"""Kunis, Susanne""",262,226,316,286,259,223,283,313
https://zenodo.org/records/10008464,"""Moore, Josh""",438,346,534,485,225,192,239,258
https://zenodo.org/records/8070038,"""Stefanie Weidtkamp-Peters""",235,208,230,215,233,206,213,228
https://zenodo.org/records/10609770,"""Abdrabbou, Mohamed M. and Babaki, Mehrnaz and Boissonnet, Tom and Bortolomeazzi, Michele and Dahms, Eik and Fuchs, Vanessa A. F. and Hoevels, Moritz and Kandpal, Niraj and Möhl, Christoph and Moore, Joshua A. and Schauss, Astrid and Schrader, Andrea and Stöter, Torsten and Thönnißen, Julia and Valencia-S., Monica and Weil, H. Lukas and Wendt, Jens and Zentis, Peter""",65,65,493,458,58,58,408,430
https://zenodo.org/records/11235512,"""Moore, Josh and Kunis, Susanne""",200,167,346,320,200,167,320,346
https://zenodo.org/records/8329305,"""Kunis, Susanne""",262,226,316,286,259,223,283,313
https://zenodo.org/records/7928332,"""Moore, Joshua Allenm and Kunis, Susanne""",227,157,245,229,225,156,228,244
https://zenodo.org/records/8414318,"""Massei, Riccardo""",124,113,189,177,116,107,170,180
https://zenodo.org/records/10730423,"""Fuchs, Vanessa Aphaia Fiona and Wendt, Jens and Müller, Maximilian and Ahmadi, Mohsen and Massei, Riccardo and Wetzker, Cornelia""",170,144,297,265,170,144,265,297
https://zenodo.org/records/10939519,"""Schmidt, Christian""",122,110,186,164,122,110,164,186
https://zenodo.org/records/11031746,"""Fortmann-Grote, Carsten""",170,124,295,270,170,124,270,295
