url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/record/4071471,"""Biernacka, Katarzyna and Bierwirth, Maik and Buchholz, Petra and Dolzycka, Dominika and Helbig, Kerstin and Neumann, Janna and Odebrecht, Carolin and Wiljes, Cord and Wuttke, Ulrike""",6221,4497,7256,6570,5401,4072,6068,6722
https://zenodo.org/record/3490058,"""Biernacka, Katarzyna and Cortez, Katrin and Helbig, Kerstin""",141,133,247,217,139,131,212,242
https://zenodo.org/record/6602101,"""Della Chiesa, Stefano""",1613,1120,1145,948,391,293,237,288
https://zenodo.org/records/8323588,"""Schmidt, Christian and Bortolomeazzi, Michele and Boissonnet, Tom and Fortmann-Grote, Carsten and Dohle, Julia and Zentis, Peter and Kandpal, Niraj and Kunis, Susanne and Zobel, Thomas and Weidtkamp-Peters, Stefanie and Ferrando-May, Elisa""",7617,6885,3847,3612,7617,6885,3612,3847
https://zenodo.org/records/2643411,"""Stephen Royle""",124,120,918,871,124,120,869,916
https://zenodo.org/records/4330625,"""Kreshuk, Anna and Kutra, Dominik""",54,52,157,136,54,52,136,157
https://zenodo.org/records/4334697,"""Floden, Evan and Di Tommaso, Paolo""",111,108,120,107,111,108,107,120
https://zenodo.org/records/4328911,"""Bankhead, Peter""",204,190,104,91,203,189,91,104
https://zenodo.org/records/4317149,"""Jordan, Kari and Kamvar, Zhian and Hodges, Toby""",61,57,114,98,61,57,98,114
https://zenodo.org/records/10083555,"""Wetzker, Cornelia""",189,164,214,198,189,164,198,214
https://zenodo.org/records/10815329,"""Haase, Robert""",569,475,482,447,497,414,396,424
https://zenodo.org/records/10679054,"""Fazeli, Elnaz""",188,156,311,292,188,156,292,311
https://zenodo.org/records/10654775,"""Haase, Robert""",353,312,559,514,82,77,288,324
https://zenodo.org/records/10008465,"""Moore, Josh""",306,244,320,281,166,118,192,219
https://zenodo.org/records/10972692,"""Haase, Robert""",352,288,375,337,328,265,308,342
https://zenodo.org/records/10990107,"""Haase, Robert""",365,281,414,376,332,250,322,357
https://zenodo.org/records/10970869,"""Haase, Robert""",304,267,275,254,304,267,254,275
https://zenodo.org/records/11066250,"""Haase, Robert""",266,230,202,177,259,223,155,179
https://zenodo.org/records/11473803,"""Kemmer, Isabel and Euro-BioImaging ERIC""",605,479,772,714,605,479,714,772
https://zenodo.org/records/11474407,"""Kemmer, Isabel and Euro-BioImaging ERIC""",263,210,326,296,263,210,296,326
https://zenodo.org/records/11548617,"""Zoccoler, Marcelo and Bekemeier, Simon and Boissonnet, Tom and Parker, Simon and Bertinetti, Luca and Gentzel, Marc and Massei, Riccardo and Wetzker, Cornelia""",1295,1132,377,310,1295,1132,310,377
https://zenodo.org/records/10687658,"""Moore, Josh and Waagmeester, Andra and Hettne, Kristina and Wolstencroft, Katherine and Kunis, Susanne""",267,221,352,320,267,221,320,352
https://zenodo.org/records/8349562,"""Stöter, Torsten and Gottschall, Tobias and Schrader, Andrea and Zentis, Peter and Valencia-Schneider, Monica and Kandpal, Niraj and Zuschratter, Werner and Schauss, Astrid and Dickscheid, Timo and Mühlhaus, Timo and von Suchodoletz, Dirk""",277,230,436,395,271,224,390,431
https://zenodo.org/records/8340247,"""Moore, Joshua Allen""",209,165,907,824,206,162,795,878
https://zenodo.org/records/8139353,"""Weischer, Sarah and Wendt, Jens and Zobel, Thomas""",17,17,193,156,17,17,155,192
https://zenodo.org/records/10886749,"""Margineanu, Anca and Stringari, Chiara and Zoccoler, Marcelo and Wetzker, Cornelia""",453,397,321,286,453,397,286,321
https://zenodo.org/records/10793699,"""Massei, Riccardo""",69,68,242,211,69,68,211,242
https://zenodo.org/records/11265038,"""Pape, Constantin""",255,236,113,96,255,236,96,113
https://zenodo.org/records/11107798,"""Voigt, Pia and Hundt, Carolin""",89,65,145,127,89,65,127,145
https://zenodo.org/records/10942559,"""Della Chiesa, Stefano""",89,65,143,120,89,65,120,143
https://zenodo.org/records/10816895,"""Haase, Robert""",264,237,196,176,264,237,176,196
https://zenodo.org/records/4461261,"""Hesse, Elfi and Deinert, Jan-Christoph and Löschen, Christian""",340,308,584,553,337,305,551,582
https://zenodo.org/records/11472148,"""Wünsche, Stephan""",236,195,253,236,119,96,175,189
https://zenodo.org/records/11396199,"""Voigt, Pia""",170,159,192,181,170,159,181,192
